17:22:40@471/none - i2pd v2.53.1 (0.9.63) starting...
17:22:40@471/warn - Family: Can't load family certificates from C:\Users\vchar\.i2pd\certificates\family
17:22:40@471/warn - Reseed: Can't load reseed certificates from C:\Users\vchar\.i2pd\certificates\reseed
17:23:01@471/error - Reseed: Failed to connect to banana.incognet.io
17:23:01@471/warn - Reseed: SU3 download failed
17:23:02@471/warn - Profiling: No profile yet for YnAYpIj3OgnHJrpLhuD7rxSVe0U9kZtJ7nn-dQMOAfo=
17:23:02@471/warn - Profiling: No profile yet for z5b0nhfmL1fRbjxMfHy9jOzK2diIiXCa9n1V2SxoGuE=
17:23:02@471/warn - Profiling: No profile yet for GfO88bxPTdb-PEbna6l9~Pt2lacna~CwRPgzhtZomMs=
17:23:02@471/warn - Profiling: No profile yet for ~XRW9ArOpo~nYglb996JXtdNyPYOq1TpP8a5uVLlgos=
17:23:02@471/warn - Profiling: No profile yet for fjOMPcoVVJF87dJv-mnpZIDLwvMmTeJS3Swj7YHQQWk=
17:23:02@471/warn - Profiling: No profile yet for fx2umYOwPdFpHFkt1T5PQSSafoDuCdnuLsrgf82bVv0=
17:23:02@471/warn - Profiling: No profile yet for lcMsycPSLTNHEQ~CEW4PfZgKOrDCvIgzqgXSkc7t-m0=
17:23:02@471/warn - Profiling: No profile yet for BjP9fToP14JTQclt2sKANWvfhRirXXmPfL6y5J-YoAA=
17:23:02@471/warn - Profiling: No profile yet for Wv7PRatNwpaadNgC3yfoBqSCyEMtw7NqF6KBWy6xL6A=
17:23:02@471/warn - Profiling: No profile yet for 9ctufFVWt9R5NdvhtpIDrE0Zq9ymYNaw~ugZngUoZWw=
17:23:02@471/warn - Profiling: No profile yet for 9TjlKSz3NjzQHie3zjqlCAGFvsFvCwhk4JScjFZa34g=
17:23:02@471/warn - Profiling: No profile yet for aZSeVojUxrAVpJuCINcS52tpiR9ToJA~vDcyUmmaeXs=
17:23:02@471/warn - Profiling: No profile yet for ~5gUSlBXUfE1OFtlRQUfvkzQRQe-L01sJhdh82ozwtI=
17:23:02@471/warn - Profiling: No profile yet for y2abREC51QZmeYFR8pCYNFrhAym52F-GdNYI2Fc-RCs=
17:23:02@471/warn - Profiling: No profile yet for hx~6q7rSpNRx39DjRcFBu7aETnv7pFe~u5D4AkmZBzM=
17:23:02@471/warn - Profiling: No profile yet for wDhgGJxdRrveozYgIAShonUSay1z5ZKDqTCfOCkm1EY=
17:23:02@471/warn - Profiling: No profile yet for 7ZQFePPP8tJxGCEHRHre9JghOGGiCbMYZ4A-Hhy1ILA=
17:23:02@471/warn - Profiling: No profile yet for nqtLfuogmp8YEN5zoBJG0HBf~CaL0F50oz2xDvLWNn0=
17:23:02@471/warn - Profiling: No profile yet for oR0~w3QGvgsHNacXsOXrLyBZ8fhlLhU8xsW8~A3t~x4=
17:23:02@471/warn - Profiling: No profile yet for A1-4~n8FRNcSKcC2CKW4Q6gIL7domKC9C13h8lr8gmo=
17:23:02@471/warn - Profiling: No profile yet for E0dyBm5PAOmw7PvhykgggJ3-9F6N2MfG1KAIU9dEk8Q=
